t_recv,kind,type,name,detail
0.0202,Node,ADDED,kind-control-plane,taints=1
0.0243,Node,ADDED,kind-worker,taints=0
0.0258,Node,ADDED,kind-worker2,taints=0
0.0275,Node,ADDED,kind-worker3,taints=0
0.029,Node,ADDED,kind-worker4,taints=0
0.0305,Node,ADDED,kind-worker5,taints=0
0.0456,TaskRequest,ADDED,eval-sanitize-2-r0-000,phase=None job=None
0.0496,TaskRequest,MODIFIED,eval-sanitize-2-r0-000,phase=Pending job=None
0.0558,Event,ADDED,eval-image-prepull-5mshf.18d4a087f8757105,reason=Scheduled count=1 msg=Successfully assigned compute/eval-image-prepull-5mshf to kind-worker3
0.0562,Event,ADDED,eval-image-prepull-5mshf.18d4a08824913b5c,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0564,Event,ADDED,eval-image-prepull-5mshf.18d4a08826fc0945,reason=Created count=1 msg=Created container: pause
0.0568,Event,ADDED,eval-image-prepull-5mshf.18d4a0882a24eda3,reason=Started count=1 msg=Started container pause
0.0573,Event,ADDED,eval-image-prepull-5mshf.18d4a089560061f2,reason=Killing count=1 msg=Stopping container pause
0.0576,Event,ADDED,eval-image-prepull-6kt7n.18d4a1d3f076f033,reason=Scheduled count=1 msg=Successfully assigned compute/eval-image-prepull-6kt7n to kind-worker
0.0578,Event,ADDED,eval-image-prepull-6kt7n.18d4a1d40c115a5c,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0581,Event,ADDED,eval-image-prepull-6kt7n.18d4a1d40ec3e5be,reason=Created count=1 msg=Created container: pause
0.0583,Event,ADDED,eval-image-prepull-6kt7n.18d4a1d412dc71a4,reason=Started count=1 msg=Started container pause
0.0588,Event,ADDED,eval-image-prepull-6kt7n.18d4a1d46849058f,reason=Killing count=1 msg=Stopping container pause
0.059,Event,ADDED,eval-image-prepull-c9m54.18d4a1d3f10ba701,reason=Scheduled count=1 msg=Successfully assigned compute/eval-image-prepull-c9m54 to kind-worker2
0.0591,Event,ADDED,eval-image-prepull-c9m54.18d4a1d40c09787c,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0595,Event,ADDED,eval-image-prepull-c9m54.18d4a1d40e98903b,reason=Created count=1 msg=Created container: pause
0.0597,Event,ADDED,eval-image-prepull-c9m54.18d4a1d412d32c53,reason=Started count=1 msg=Started container pause
0.0599,Event,ADDED,eval-image-prepull-c9m54.18d4a1d47f555b17,reason=Killing count=1 msg=Stopping container pause
0.0601,Event,ADDED,eval-image-prepull-gkpnn.18d4a1d3f1b1227a,reason=Scheduled count=1 msg=Successfully assigned compute/eval-image-prepull-gkpnn to kind-worker3
0.0603,Event,ADDED,eval-image-prepull-gkpnn.18d4a1d40c120330,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0605,Event,ADDED,eval-image-prepull-gkpnn.18d4a1d40ef8e10d,reason=Created count=1 msg=Created container: pause
0.0607,Event,ADDED,eval-image-prepull-gkpnn.18d4a1d4132a47a9,reason=Started count=1 msg=Started container pause
0.061,Event,ADDED,eval-image-prepull-gkpnn.18d4a1d463fab557,reason=Killing count=1 msg=Stopping container pause
0.0612,Event,ADDED,eval-image-prepull-j75pm.18d4a1d3f1b14f49,reason=Scheduled count=1 msg=Successfully assigned compute/eval-image-prepull-j75pm to kind-worker5
0.0614,Event,ADDED,eval-image-prepull-j75pm.18d4a1d40bfff774,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0616,Event,ADDED,eval-image-prepull-j75pm.18d4a1d40e63b644,reason=Created count=1 msg=Created container: pause
0.062,Event,ADDED,eval-image-prepull-j75pm.18d4a1d412c39eff,reason=Started count=1 msg=Started container pause
0.0622,Event,ADDED,eval-image-prepull-j75pm.18d4a1d4bf8b5910,reason=Killing count=1 msg=Stopping container pause
0.0624,Event,ADDED,eval-image-prepull-k7bb5.18d4a087f8199588,reason=Scheduled count=1 msg=Successfully assigned compute/eval-image-prepull-k7bb5 to kind-worker2
0.0625,Event,ADDED,eval-image-prepull-k7bb5.18d4a08824b21636,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0629,Event,ADDED,eval-image-prepull-k7bb5.18d4a08826fd3675,reason=Created count=1 msg=Created container: pause
0.0631,Event,ADDED,eval-image-prepull-k7bb5.18d4a0882a22f742,reason=Started count=1 msg=Started container pause
0.0632,Event,ADDED,eval-image-prepull-k7bb5.18d4a08955f305c8,reason=Killing count=1 msg=Stopping container pause
0.0636,Event,ADDED,eval-image-prepull-kv8l4.18d4a087f75a7efe,reason=Scheduled count=1 msg=Successfully assigned compute/eval-image-prepull-kv8l4 to kind-worker
0.0638,Event,ADDED,eval-image-prepull-kv8l4.18d4a08823510c8f,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.064,Event,ADDED,eval-image-prepull-kv8l4.18d4a088250e3f09,reason=Created count=1 msg=Created container: pause
0.0642,Event,ADDED,eval-image-prepull-kv8l4.18d4a088296f7d0a,reason=Started count=1 msg=Started container pause
0.0644,Event,ADDED,eval-image-prepull-kv8l4.18d4a0895600eb1f,reason=Killing count=1 msg=Stopping container pause
0.0646,Event,ADDED,eval-image-prepull-pvfmc.18d4a1d3f111b33c,reason=Scheduled count=1 msg=Successfully assigned compute/eval-image-prepull-pvfmc to kind-worker4
0.0649,Event,ADDED,eval-image-prepull-pvfmc.18d4a1d40c0d6db2,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0652,Event,ADDED,eval-image-prepull-pvfmc.18d4a1d40f1664f8,reason=Created count=1 msg=Created container: pause
0.0654,Event,ADDED,eval-image-prepull-pvfmc.18d4a1d413482b76,reason=Started count=1 msg=Started container pause
0.0656,Event,ADDED,eval-image-prepull-pvfmc.18d4a1d4c5fefb0b,reason=Killing count=1 msg=Stopping container pause
0.0658,Event,ADDED,eval-image-prepull-sr6hj.18d4a087f81a5cf5,reason=Scheduled count=1 msg=Successfully assigned compute/eval-image-prepull-sr6hj to kind-worker4
0.0662,Event,ADDED,eval-image-prepull-sr6hj.18d4a08824aa6e2c,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0663,Event,ADDED,eval-image-prepull-sr6hj.18d4a088272e5d05,reason=Created count=1 msg=Created container: pause
0.0665,Event,ADDED,eval-image-prepull-sr6hj.18d4a0882a22e5d6,reason=Started count=1 msg=Started container pause
0.0668,Event,ADDED,eval-image-prepull-sr6hj.18d4a08955f321b6,reason=Killing count=1 msg=Stopping container pause
0.0672,Event,ADDED,eval-image-prepull-zvmf4.18d4a087f89c2f7b,reason=Scheduled count=1 msg=Successfully assigned compute/eval-image-prepull-zvmf4 to kind-worker5
0.0674,Event,ADDED,eval-image-prepull-zvmf4.18d4a0882476a84c,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
0.0676,Event,ADDED,eval-image-prepull-zvmf4.18d4a08826d51bf6,reason=Created count=1 msg=Created container: pause
0.0682,Job,ADDED,eval-sanitize-2-r0-000,
0.0686,Event,ADDED,eval-image-prepull-zvmf4.18d4a0882a08bae0,reason=Started count=1 msg=Started container pause
0.0687,Event,ADDED,eval-image-prepull-zvmf4.18d4a08955fb1d10,reason=Killing count=1 msg=Stopping container pause
0.0689,Event,ADDED,eval-image-prepull.18d4a087f700f303,reason=SuccessfulCreate count=1 msg=Created pod: eval-image-prepull-kv8l4
